NHL000333,Marie N Sapienza,Marie,N,Sapienza,,,False,nh,,,,,,2011-06-21 18:49:57.743000,2013-01-04 00:08:31.879000
NHL000340,Lisa E Scontsas,Lisa,E,Scontsas,,,False,nh,,,,,,2011-06-21 18:49:57.788000,2013-01-04 00:08:31.885000
NHL000343,Carl W Seidel,Carl,W,Seidel,,,False,nh,,,,11f5a2a45add42579f81a45190f19f4a,,2011-06-21 18:49:57.796000,2013-01-04 00:08:31.888000
NHL000344,Christopher W Serlin,Christopher,W,Serlin,,,False,nh,,,,,,2011-06-21 18:49:57.798000,2013-01-04 00:08:31.889000
NHL000347,Kenneth W Sheffert,Kenneth,W,Sheffert,,,False,nh,,,,,,2011-06-21 18:49:57.804000,2013-01-04 00:08:31.891000
NHL000348,Wyman E Shuler,Wyman,E,Shuler,,,False,nh,,,,,,2011-06-21 18:49:57.806000,2013-01-04 00:08:31.892000
NHL000351,Paul H Simard,Paul,H,Simard,,,False,nh,,,,,,2011-06-21 18:49:57.814000,2013-01-04 00:08:31.895000
NHL000352,Tammy A Simmons,Tammy,A,Simmons,,,False,nh,,,,,http://www.gencourt.state.nh.us/house/images/memberpics/377028.jpg,2011-06-21 18:49:57.816000,2013-01-04 00:08:31.896000
NHL000353,Tyler W Simpson,Tyler,W,Simpson,,,False,nh,,,,,,2011-06-21 18:49:57.818000,2013-01-04 00:08:31.897000
NHL000355,Molly J Smith,Molly,J,Smith,,,False,nh,,,,,,2011-06-21 18:49:57.823000,2013-01-04 00:08:31.899000
NHL000359,William B Smith,William,B,Smith,,,False,nh,,,,,http://www.gencourt.state.nh.us/house/images/memberpics/376868.jpg,2011-06-21 18:49:57.848000,2013-01-04 00:08:31.910000
NHL000364,Charles E Sova,Charles,E,Sova,,,False,nh,,,,,,2011-06-21 18:49:57.869000,2013-01-04 00:08:31.915000
NHL000368,Jeffrey L St. Cyr,Jeffrey,L,St. Cyr,,,False,nh,,,,,,2011-06-21 18:49:57.878000,2013-01-04 00:08:31.919000
NHL000373,James M Sullivan,James,M,Sullivan,,,False,nh,,,,,,2011-06-21 18:49:57.900000,2013-01-04 00:08:31.924000
NHL000374,Kevin P Sullivan,Kevin,P,Sullivan,,,False,nh,,,,4416e912fa6f473da499cf4bb6b86406,,2011-06-21 18:49:57.902000,2013-01-04 00:08:31.925000
NHL000375,James D Summers,James,D,Summers,,,False,nh,,,,,,2011-06-21 18:49:57.905000,2013-01-04 00:08:31.926000
NHL000376,Matthew J Swank,Matthew,J,Swank,,,False,nh,,,,,,2011-06-21 18:49:57.912000,2013-01-04 00:08:31.927000
NHL000377,Elaine B Swinford,Elaine,B,Swinford,,,False,nh,,,,,,2011-06-21 18:49:57.915000,2013-01-04 00:08:31.928000
NHL000383,Ross W Terrio,Ross,W,Terrio,,,False,nh,,,,,,2011-06-21 18:49:57.941000,2013-01-04 00:08:31.934000
NHL000386,Joseph D Thomas,Joseph,D,Thomas,,,False,nh,,,,,,2011-06-21 18:49:57.948000,2013-01-04 00:08:31.937000
NHL000391,Norman A Tregenza,Norman,A,Tregenza,,,False,nh,,,,,,2011-06-21 18:49:57.964000,2012-06-05 17:37:27.570000
NHL000395,Timothy L Twombly,Timothy,L,Twombly,,,False,nh,,,,,,2011-06-21 18:49:57.972000,2013-01-04 00:08:31.945000
NHL000401,Lucien A Vita,Lucien,A,Vita,,,False,nh,,,,,,2011-06-21 18:49:57.988000,2013-01-04 00:08:31.952000
NHL000402,James A Waddell,James,A,Waddell,,,False,nh,,,,,,2011-06-21 18:49:57.990000,2013-01-04 00:08:31.953000
NHL000405,Joanne A Ward,Joanne,A,Ward,,,False,nh,,,,,,2011-06-21 18:49:57.997000,2013-01-04 00:08:31.956000
NHL000413,Michael W Weeden,Michael,W,Weeden,,,False,nh,,,,,,2011-06-21 18:49:58.030000,2013-01-04 00:08:31.967000
NHL000414,David A Welch,David,A,Welch,,,False,nh,,,,,http://www.gencourt.state.nh.us/house/images/memberpics/330795.jpg,2011-06-21 18:49:58.032000,2013-01-04 00:08:31.968000
NHL000417,Randall A Whitehead,Randall,A,Whitehead,,,False,nh,,,,131b724232ad4bb699eef08cad2d515f,,2011-06-21 18:49:58.038000,2013-01-04 00:08:31.971000
NHL000419,Robert W Williams,Robert,W,Williams,,,False,nh,,,,,,2011-06-21 18:49:58.043000,2013-01-04 00:08:31.973000
NHL000420,Steven J Winter,Steven,J,Winter,,,False,nh,,,,,,2011-06-21 18:49:58.055000,2013-01-04 00:08:31.983000
NHL000423,Kevin M Janvrin,Kevin,M,Janvrin,,,False,nh,,,,,,2011-10-25 01:00:42.231000,2013-01-04 00:08:31.986000
NHL000001,"John S Barnes, Jr.",John,S,"Barnes, Jr.",,,False,nh,,,,8586b436af894630a7f7dc746a477b91,http://www.gencourt.state.nh.us/Senate/images/senators/17.jpg,2011-06-21 18:49:56.640000,2013-01-04 00:08:31.988000
NHL000009,James R Forsythe,James,R,Forsythe,,,False,nh,,,,c201150b066644e88a7672c1e10f0b40,http://www.gencourt.state.nh.us/Senate/images/senators/04.jpg,2011-06-21 18:49:56.677000,2013-01-04 00:08:31.990000
NHL000010,John T Gallus,John,T,Gallus,,,False,nh,,,,b78eba6bcbe9415f861df2c1403f21ae,http://www.gencourt.state.nh.us/Senate/images/senators/01.jpg,2011-06-21 18:49:56.680000,2013-01-04 00:08:31.991000
NHL000011,Fenton L Groen,Fenton,L,Groen,,,False,nh,,,,09a10c10e1cd4429a687ca9657f009dd,http://www.gencourt.state.nh.us/Senate/images/senators/06.jpg,2011-06-21 18:49:56.682000,2013-01-04 00:08:31.993000
NHL000012,Matthew S Houde,Matthew,S,Houde,,,False,nh,,,,15081b4094214faa8518ed850c016644,http://www.gencourt.state.nh.us/Senate/images/senators/05.jpg,2011-06-21 18:49:56.684000,2013-01-04 00:08:31.994000
NHL000014,Gary E Lambert,Gary,E,Lambert,,,False,nh,,,,91daaa7b7e43481fb0c43e17e08197dc,http://www.gencourt.state.nh.us/Senate/images/senators/13.jpg,2011-06-21 18:49:56.688000,2013-01-04 00:08:31.995000
NHL000016,Jim Luther,Jim,,Luther,,,False,nh,,,,2a98ac429ff94000a5713760a62d9bba,http://www.gencourt.state.nh.us/Senate/images/senators/12.jpg,2011-06-21 18:49:56.693000,2013-01-04 00:08:31.996000
NHL000017,Amanda A Merrill,Amanda,A,Merrill,,,False,nh,,,,8b888e5a1b3c4be899d2941e7ffe6de3,http://www.gencourt.state.nh.us/Senate/images/senators/21.jpg,2011-06-21 18:49:56.695000,2013-01-04 00:08:31.997000
NHL000031,Donald C Andolina,Donald,C,Andolina,,,False,nh,,,,fc62447ba56f40cabb21a845d2cb03bd,http://www.gencourt.state.nh.us/house/images/memberpics/376898.jpg,2011-06-21 18:49:56.738000,2013-01-04 00:08:31.507000
NHL000035,David L Babson,David,L,Babson,,,False,nh,,,,4883f8688f85480b8092aa8dd38c9e68,,2011-06-21 18:49:56.774000,2013-01-04 00:08:31.511000
NHL000040,J. Gail Barry,J. Gail,,Barry,,,False,nh,,,,d324e6c4e69949f7af9b89c201f16a62,,2011-06-21 18:49:56.785000,2013-01-04 00:08:31.516000
NHL000046,William S Belvin,William,S,Belvin,,,False,nh,,,,e648177a276648a9bf4910cc0dc41b6a,,2011-06-21 18:49:56.798000,2013-01-04 00:08:31.522000
NHL000050,David J Bettencourt,David,J,Bettencourt,,,False,nh,,,,5e3254a7d35c4cf580552ec6b6f28a3e,http://www.gencourt.state.nh.us/house/images/memberpics/376551.jpg,2011-06-21 18:49:56.807000,2012-06-05 19:06:14.009000
NHL000052,Lynne F Blankenbeker,Lynne,F,Blankenbeker,,,False,nh,,,,a829a2ccd0924529a836794e38285c0f,,2011-06-21 18:49:56.811000,2013-01-04 00:08:31.527000
NHL000056,Spec Bowers,Spec,,Bowers,,,False,nh,,,,d2f748dcc840476f8f3ecd1a732f9821,,2011-06-21 18:49:56.841000,2013-01-04 00:08:31.532000
NHL000058,Charles J Brosseau,Charles,J,Brosseau,,,False,nh,,,,2e73e0896ef84d1f984aa306707e413b,,2011-06-21 18:49:56.845000,2013-01-04 00:08:31.534000
NHL000064,Michael D Brunelle,Michael,D,Brunelle,,,False,nh,,,,6f731384676248d5af86582cab12f519,,2011-06-21 18:49:56.940000,2012-06-05 18:35:12.810000
NHL000065,Lyle E Bulis,Lyle,E,Bulis,,,False,nh,,,,efa57e2402d94d31902d7230f90111eb,,2011-06-21 18:49:56.942000,2013-01-04 00:08:31.540000
