state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
ne,102,upper,LB 1108,Change provisions relating to a sales and use tax exemption for manufacturing machinery and equipment,2012-08-31 01:32:34.550000,2012-10-03 01:08:31.093000,bill,
ne,102,upper,LB 1109,Provide for classification of flooded agricultural land as inundated land,2012-08-31 01:32:34.565000,2012-09-01 01:31:13.316000,bill,
ne,102,upper,LB 111,Change membership on mental health boards,2011-09-22 17:37:51.107000,2012-09-01 01:30:57.930000,bill,
ne,102,upper,LB 1110,Provide for assistance for temporary and permanent housing after a natural disaster,2012-08-31 01:32:34.588000,2012-09-01 01:31:13.319000,bill,
ne,102,upper,LB 1111,Change provisions relating to penalties involving operator's license revocation,2012-08-31 01:32:34.661000,2012-09-01 01:31:13.322000,bill,
ne,102,upper,LB 1112,Change provisions relating to state highway system plans,2012-08-31 01:32:34.671000,2012-09-01 01:31:13.325000,bill,
ne,102,upper,LB 1113,Adopt the Nebraska Uniform Power of Attorney Act,2012-08-31 01:32:34.694000,2012-09-01 01:31:13.331000,bill,
ne,102,upper,LB 1114,Change provisions relating to the Municipal Equalization Fund,2012-08-31 01:32:34.740000,2012-11-04 01:09:44.189000,bill,
ne,102,upper,LB 1115,Authorize construction and operation of natural gas pipeline facilities by jurisdictional utilities,2012-08-31 01:32:34.777000,2012-09-01 01:31:13.352000,bill,
ne,102,upper,LB 1116,Change Nebraska Capitol Commission membership provisions,2012-08-31 01:32:34.993000,2012-09-01 01:31:13.359000,bill,
ne,102,upper,LB 1117,Change income tax calculations relating to the federal alternative minimum tax,2012-08-31 01:32:35.013000,2012-09-01 01:31:13.364000,bill,
ne,102,upper,LB 1118,Provide tax incentives for large data center projects,2012-08-31 01:32:35.249000,2012-09-01 01:31:13.372000,bill,
ne,102,upper,LB 1119,"Prohibit sale, possession, and use of flying lantern-type devices",2012-08-31 01:32:35.269000,2012-09-01 01:31:13.379000,bill,
ne,102,upper,LB 112,Provide exemptions from motor carrier regulations for certain transportation service providers,2011-09-22 17:37:51.118000,2012-09-01 01:30:57.950000,bill,
ne,102,upper,LB 1120,Limit liability for bucking bull activities,2012-08-31 01:32:35.294000,2012-09-01 01:31:13.382000,bill,
ne,102,upper,LB 1121,Change signature requirements for recall petitions for sanitary and improvement districts,2012-08-31 01:32:35.428000,2012-09-01 01:31:13.387000,bill,
ne,102,upper,LB 1122,Change the Medical Assistance Act with respect to certain home health services,2012-08-31 01:32:35.572000,2012-09-01 01:31:13.394000,bill,
ne,102,upper,LB 1123,Adopt the Nebraska Healthy Food Financing Initiative Act,2012-08-31 01:32:35.701000,2012-09-01 01:31:13.399000,bill,
ne,102,upper,LB 1124,Provide for designation of priority schools,2012-08-31 01:32:35.713000,2012-09-01 01:31:13.402000,bill,
ne,102,upper,LB 1125,Change provisions relating to natural resources district occupation tax,2012-08-31 01:32:35.824000,2012-09-01 01:31:13.407000,bill,
ne,102,upper,LB 1126,Provide and change extraterritorial jurisdiction of a village,2012-08-31 01:32:35.902000,2012-09-01 01:31:13.414000,bill,
ne,102,upper,LB 1127,Change provisions and penalties relating to issuing or passing a bad check or issuing a no-account check,2012-08-31 01:32:35.932000,2012-09-01 01:31:13.418000,bill,
ne,102,upper,LB 1128,Adopt the New Markets Job Growth Investment Act and provide tax credits,2012-08-31 01:32:35.955000,2012-09-01 01:31:13.424000,bill,
ne,102,upper,LB 1128A,Appropriation Bill,2012-08-31 01:32:35.980000,2012-09-01 01:31:13.431000,bill,
ne,102,upper,LB 1129,Provide requirements for insurance coverage of autism spectrum disorders,2012-08-31 01:32:35.990000,2012-09-01 01:31:13.435000,bill,
ne,102,upper,LB 113,Prohibit job discrimination based upon credit history,2011-09-22 17:37:51.128000,2012-09-01 01:30:57.958000,bill,
ne,102,upper,LB 1130,Provide for entertainment district licenses under the Nebraska Liquor Control Act,2012-08-31 01:32:36.244000,2012-09-01 01:31:13.441000,bill,
ne,102,upper,LB 1131,"Adopt the Innovation, Discovery, and Entrepreneurial Act",2012-08-31 01:32:36.475000,2012-09-01 01:31:13.445000,bill,
ne,102,upper,LB 1132,Change the Community Development Law,2012-08-31 01:32:36.488000,2012-09-01 01:31:13.448000,bill,
ne,102,upper,LB 1133,Adopt the Redistricting Act,2012-08-31 01:32:36.502000,2012-09-01 01:31:13.451000,bill,
ne,102,upper,LB 1134,Change agency procedures for eminent domain,2012-08-31 01:32:36.511000,2012-09-01 01:31:13.515000,bill,
ne,102,upper,LB 1135,Provide an income tax credit relating to purchases of energy star certified materials and equipment,2012-08-31 01:32:36.520000,2012-09-01 01:31:13.518000,bill,
ne,102,upper,LB 1136,Create and provide for a wage subsidy program,2012-08-31 01:32:36.569000,2012-09-01 01:31:13.522000,bill,
ne,102,upper,LB 1137,Adopt the Nebraska Municipal Land Bank Act,2012-08-31 01:32:36.590000,2012-09-01 01:31:13.527000,bill,
ne,102,upper,LB 1138,Change community betterment organization and tax credit provisions under the Community Development Assistance Act,2012-08-31 01:32:36.691000,2012-09-01 01:31:13.533000,bill,
ne,102,upper,LB 1139,Prohibit receiving certain types of wagers on horseracing,2012-08-31 01:32:36.715000,2012-09-02 01:45:45.107000,bill,
ne,102,upper,LB 114,Provide a standard and labeling restrictions for honey,2011-09-22 17:37:51.140000,2012-09-01 01:30:57.972000,bill,
ne,102,upper,LB 1140,Provide for licensure instead of registration under the Professional Landscape Architects Act,2012-08-31 01:32:36.796000,2012-09-01 01:31:13.541000,bill,
ne,102,upper,LB 1141,Change provisions relating to reimbursement of travel expenses for Nebraska National Guard members,2012-08-31 01:32:36.939000,2012-09-01 01:31:13.548000,bill,
ne,102,upper,LB 1142,Adopt the Health Care Transparency Act,2012-08-31 01:32:36.955000,2012-09-01 01:31:13.553000,bill,
ne,102,upper,LB 1143,Change and eliminate provisions relating to stacking of insurance coverages,2012-08-31 01:32:36.963000,2012-09-01 01:31:13.556000,bill,
ne,102,upper,LB 1144,Provide for career academy schools,2012-08-31 01:32:36.973000,2012-09-01 01:31:13.559000,bill,
ne,102,upper,LB 1145,Change the penalty for pandering and create a task force and require training of certain officials regarding human trafficking,2012-08-31 01:32:37.002000,2012-09-01 01:31:13.564000,bill,
ne,102,upper,LB 1145A,Appropriation Bill,2012-08-31 01:32:37.033000,2012-09-01 01:31:13.577000,bill,
ne,102,upper,LB 1146,Appropriate funds to carry out the Nebraska Prostitution Intervention and Treatment Act,2012-08-31 01:32:37.052000,2012-09-01 01:31:13.582000,bill,
ne,102,upper,LB 1147,Provide for public wireless Internet access in the State Capitol,2012-08-31 01:32:37.082000,2012-09-01 01:31:13.586000,bill,
ne,102,upper,LB 1148,Change certification provisions for marriage and family therapists,2012-08-31 01:32:37.110000,2012-11-04 01:09:44.353000,bill,
ne,102,upper,LB 1149,Change provisions relating to child guardianships and child welfare caseloads,2012-08-31 01:32:37.119000,2012-09-01 01:31:13.600000,bill,
ne,102,upper,LB 115,Change limitation of action provisions under the Political Subdivisions Tort Claims Act,2011-09-22 17:37:51.149000,2012-09-01 01:30:57.979000,bill,
ne,102,upper,LB 1150,Adopt the Young Adult Voluntary Foster Care Services Act,2012-08-31 01:32:37.128000,2012-09-01 01:31:13.605000,bill,
ne,102,upper,LB 1151,Eliminate a sunset provision under the Nebraska Workers' Compensation Act relating to certain first responder injuries,2012-08-31 01:32:37.207000,2012-09-01 01:31:13.608000,bill,
ne,102,upper,LB 1152,Provide job training programs for recipients of unemployment insurance benefits,2012-08-31 01:32:37.231000,2012-09-01 01:31:13.611000,bill,
ne,102,upper,LB 1153,Require timely provision of juvenile court-ordered treatment or services,2012-08-31 01:32:37.268000,2012-09-01 01:31:13.620000,bill,
ne,102,upper,LB 1154,Provide job training programs for recipients of unemployment insurance benefits,2012-08-31 01:32:37.296000,2012-09-01 01:31:13.623000,bill,
ne,102,upper,LB 1155,"Allow operation of golf car vehicles as prescribed, provide powers for counties, cities, and villages, and change penalties relating to operating a motor vehicle while under orders not to operate a motor vehicle",2012-08-31 01:32:37.347000,2012-09-01 01:31:13.633000,bill,
ne,102,upper,LB 1156,Exempt non-equalized schools from expenditure limits in the Tax Equity and Educational Opportunities Support Act,2012-08-31 01:32:37.361000,2012-09-01 01:31:13.643000,bill,
ne,102,upper,LB 1157,Change late filing fee provisions under the Nebraska Political Accountability and Disclosure Act,2012-08-31 01:32:37.372000,2012-10-27 01:08:54.221000,bill,
